manufact,sales,resale,type,price,engine_s
Acura,16.919,16.36,0,21.5,1.8
Acura,39.384,19.875,0,28.4,3.2
Acura,8.588,29.725,0,42,3.5
Audi,20.397,22.255,0,23.99,1.8
Audi,18.78,23.555,0,33.95,2.8
Audi,1.38,39,0,62,4.2
BMW,9.231,28.675,0,33.4,2.8
BMW,17.527,36.125,0,38.9,2.8
Buick,91.561,12.475,0,21.975,3.1
Buick,39.35,13.74,0,25.3,3.8
Buick,27.851,20.19,0,31.965,3.8
Buick,83.257,13.36,0,27.885,3.8
Cadillac,63.729,22.525,0,39.895,4.6
Cadillac,6.536,25.725,0,39.665,4.6
Cadillac,11.185,18.225,0,31.01,3
Chevrolet,145.519,9.25,0,13.26,2.2
Chevrolet,135.126,11.225,0,16.535,3.1
Chevrolet,24.629,10.31,0,18.89,3.1
Chevrolet,42.593,11.525,0,19.39,3.4
Chevrolet,26.402,13.025,0,24.34,3.8
Chevrolet,17.947,36.225,0,45.705,5.7
Chevrolet,32.299,9.125,0,13.96,1.8
Chevrolet,21.855,5.16,0,9.235,1
Chrysler,7.854,12.36,0,19.84,2.5
Chrysler,32.775,14.18,0,24.495,2.5
Chrysler,31.148,13.725,0,22.245,2.7
Chrysler,32.306,12.64,0,16.48,2
Chrysler,13.462,17.325,0,28.34,3.5
Dodge,76.034,7.75,0,12.64,2
Dodge,4.734,12.545,0,19.045,2.5
Dodge,71.186,10.185,0,20.23,2.5
Dodge,0.916,58.47,0,69.725,8
Dodge,227.061,15.06,1,19.46,5.2
Dodge,16.767,15.51,1,21.315,3.9
Dodge,31.038,13.425,1,18.575,3.9
Dodge,111.313,11.26,1,16.98,2.5
Dodge,181.749,12.025,1,19.565,2.4
Ford,70.227,7.425,0,12.07,2
Ford,113.369,12.76,0,21.56,3.8
Ford,35.068,8.835,0,17.035,2.5
Ford,245.815,10.055,0,17.885,3
Ford,63.403,14.21,0,22.195,4.6
Ford,276.747,16.64,1,31.93,4
Ford,155.787,13.175,1,21.41,3
Ford,125.338,23.575,1,36.135,4.6
Ford,220.65,7.85,1,12.05,2.5
Ford,540.561,15.075,1,26.935,4.6
Honda,199.685,9.85,0,12.885,1.6
Honda,230.902,13.21,0,15.35,2.3
Honda,73.203,17.71,1,20.55,2
Honda,12.855,17.525,1,26.6,3.2
Honda,76.029,19.49,1,26,3.5
Hyundai,41.184,5.86,0,9.699,1.5
Hyundai,66.692,7.825,0,11.799,2
Hyundai,29.45,8.91,0,14.999,2.4
Infiniti,23.713,19.69,0,29.465,3
Jeep,55.557,13.475,1,14.46,2.5
Jeep,80.556,13.775,1,21.62,4
Jeep,157.04,18.81,1,26.895,4
Lexus,24.072,26.975,0,31.505,3
Lexus,12.698,32.075,0,37.805,3
Lexus,6.375,40.375,0,54.005,4
Lincoln,13.798,20.525,0,39.08,4.6
Lincoln,48.911,21.725,0,43.33,4.6
Mitsubishi,26.232,8.325,0,13.987,1.8
Mitsubishi,42.541,10.395,0,19.047,2.4
Mitsubishi,55.616,10.595,0,17.357,2.4
Mitsubishi,5.711,16.575,0,24.997,3.5
Mitsubishi,0.11,20.94,0,25.45,3
Mitsubishi,11.337,19.125,1,31.807,3.5
Mitsubishi,39.348,13.88,1,22.527,3
Mercury,14.351,8.8,0,16.24,2
Mercury,26.529,13.89,0,16.54,2
Mercury,67.956,11.03,0,19.035,3
Mercury,81.174,14.875,0,22.605,4.6
Mercury,27.609,20.43,1,27.56,4
Mercury,20.38,14.795,1,22.51,3.3
Mercedes-Benz,18.392,26.05,0,31.75,2.3
Mercedes-Benz,27.602,41.45,0,49.9,3.2
Mercedes-Benz,16.774,50.375,0,69.7,4.3
Mercedes-Benz,3.311,58.6,0,82.6,5
Nissan,42.643,8.45,0,13.499,1.8
Nissan,88.094,11.295,0,20.39,2.4
Nissan,79.853,15.125,0,26.249,3
Nissan,27.308,15.38,1,26.399,3.3
Nissan,42.574,17.81,1,29.299,3.3
Oldsmobile,1.112,11.24,0,18.145,3.1
Oldsmobile,14.69,19.89,0,36.229,4
Oldsmobile,20.017,19.925,1,31.598,4.3
Oldsmobile,24.361,15.24,1,25.345,3.4
Plymouth,32.734,7.75,0,12.64,2
Plymouth,5.24,9.8,0,16.08,2
Plymouth,24.155,12.025,1,18.85,2.4
Pontiac,51.645,13.79,0,21.61,2.4
Pontiac,131.097,10.29,0,19.72,3.4
Pontiac,19.911,17.805,0,25.31,3.8
Pontiac,92.364,14.01,0,21.665,3.8
Pontiac,35.945,13.225,0,23.755,3.8
Porsche,8.982,41.25,0,41.43,2.7
Porsche,1.28,60.625,0,71.02,3.4
Porsche,1.866,67.55,0,74.97,3.4
Saturn,80.62,9.2,0,10.685,1.9
Saturn,24.546,10.59,0,12.535,1.9
Saturn,5.223,10.79,0,14.29,1.9
Toyota,142.535,10.025,0,13.108,1.8
Toyota,247.994,13.245,0,17.518,2.2
Toyota,63.849,18.14,0,25.545,3
Toyota,33.269,15.445,0,16.875,1.8
Toyota,84.087,9.575,1,11.528,2.4
Toyota,25.106,13.325,1,16.888,2
Toyota,68.411,19.425,1,22.288,2.7
Toyota,9.835,34.08,1,51.728,4.7
Volkswagen,9.761,11.425,0,14.9,2
Volkswagen,83.721,13.24,0,16.7,2
Volkswagen,51.102,16.725,0,21.2,1.8
Volkswagen,9.569,16.575,0,19.99,2
Volkswagen,5.596,13.76,0,17.5,2
